iter	Passed	Remaining
0	125	24933
1	128	12715
2	131	8621
3	134	6582
4	138	5387
5	141	4565
6	144	3975
7	147	3535
8	150	3194
9	153	2916
10	156	2688
11	159	2495
12	162	2332
13	164	2190
14	167	2071
15	170	1961
16	173	1865
17	175	1778
18	178	1700
19	181	1630
20	183	1565
21	186	1505
22	188	1451
23	191	1401
24	193	1355
25	196	1314
26	198	1274
27	201	1239
28	204	1203
29	206	1171
30	209	1140
31	211	1112
32	214	1086
33	217	1060
34	219	1035
35	222	1013
36	224	991
37	227	970
38	230	950
39	232	930
40	234	911
41	237	892
42	240	877
43	243	861
44	245	846
45	248	831
46	250	816
47	253	802
48	256	790
49	258	776
50	261	763
51	263	750
52	266	738
53	268	726
54	271	714
55	273	702
56	275	691
57	277	680
58	280	669
59	282	659
60	285	649
61	287	639
62	289	630
63	292	621
64	294	612
65	297	603
66	299	594
67	301	586
68	304	577
69	306	569
70	308	561
71	311	553
72	313	545
73	316	538
74	318	530
75	320	523
76	322	515
77	325	508
78	327	501
79	330	495
80	332	488
81	335	482
82	337	475
83	339	468
84	341	462
85	344	456
86	347	451
87	349	445
88	352	439
89	354	433
90	356	427
91	358	421
92	361	415
93	363	410
94	366	404
95	368	399
96	370	393
97	373	388
98	375	383
99	378	378
100	380	373
101	383	368
102	385	363
103	388	358
104	390	353
105	393	348
106	395	343
107	398	339
108	401	335
109	403	330
110	406	325
111	408	321
112	410	316
113	413	311
114	415	307
115	418	302
116	420	298
117	422	293
118	424	289
119	427	284
120	429	280
121	431	276
122	434	271
123	436	267
124	439	263
125	441	259
126	443	255
127	446	250
128	448	246
129	451	243
130	453	239
131	456	235
132	458	231
133	461	227
134	463	223
135	466	219
136	468	215
137	470	211
138	472	207
139	475	203
140	477	199
141	480	196
142	482	192
143	484	188
144	487	184
145	489	181
146	491	177
147	494	173
148	496	169
149	498	166
150	501	162
151	503	159
152	505	155
153	508	151
154	510	148
155	513	144
156	515	141
157	517	137
158	520	134
159	522	130
160	525	127
161	527	123
162	530	120
163	532	116
164	534	113
165	537	110
166	539	106
167	542	103
168	544	99
169	547	96
170	549	93
171	552	89
172	555	86
173	557	83
174	560	80
175	563	76
176	565	73
177	567	70
178	569	66
179	572	63
180	574	60
181	576	57
182	579	53
183	581	50
184	584	47
185	586	44
186	589	40
187	591	37
188	593	34
189	596	31
190	598	28
191	601	25
192	603	21
193	605	18
194	608	15
195	610	12
196	612	9
197	614	6
198	617	3
199	619	0
