iter	Passed	Remaining
0	129	25801
1	133	13230
2	136	8995
3	140	6900
4	143	5610
5	147	4772
6	150	4143
7	154	3700
8	156	3327
9	160	3049
10	163	2801
11	166	2608
12	169	2431
13	172	2286
14	174	2157
15	177	2041
16	181	1949
17	183	1855
18	186	1776
19	189	1701
20	191	1634
21	194	1574
22	197	1522
23	200	1470
24	202	1420
25	205	1377
26	208	1335
27	210	1294
28	213	1261
29	216	1227
30	219	1198
31	223	1170
32	225	1142
33	228	1115
34	231	1089
35	233	1065
36	236	1041
37	239	1020
38	241	997
39	243	975
40	246	955
41	248	935
42	251	917
43	253	899
44	256	882
45	259	868
46	262	853
47	265	839
48	267	823
49	269	808
50	272	795
51	274	781
52	276	767
53	279	754
54	281	741
55	283	729
56	286	717
57	288	706
58	290	694
59	292	683
60	295	672
61	297	662
62	299	651
63	302	642
64	304	633
65	307	623
66	309	614
67	311	605
68	314	596
69	316	588
70	319	580
71	321	572
72	324	563
73	326	555
74	328	547
75	331	540
76	333	532
77	335	524
78	338	517
79	340	510
80	342	503
81	345	497
82	348	490
83	351	484
84	353	477
85	355	471
86	358	465
87	360	458
88	362	452
89	365	446
90	367	440
91	369	433
92	372	428
93	374	422
94	376	416
95	379	410
96	381	404
97	383	399
98	386	393
99	388	388
100	390	383
101	393	377
102	396	373
103	398	368
104	401	362
105	403	357
106	405	352
107	408	347
108	410	342
109	412	337
110	414	332
111	417	327
112	419	322
113	421	318
114	424	313
115	426	309
116	429	304
117	431	299
118	433	295
119	435	290
120	437	285
121	440	281
122	442	276
123	444	272
124	446	268
125	449	263
126	451	259
127	453	255
128	456	251
129	458	247
130	461	242
131	463	238
132	465	234
133	468	230
134	470	226
135	473	222
136	475	218
137	477	214
138	479	210
139	481	206
140	484	202
141	486	198
142	488	194
143	491	191
144	493	187
145	496	183
146	498	179
147	500	175
148	502	172
149	505	168
150	507	164
151	509	160
152	511	157
153	514	153
154	516	149
155	518	146
156	521	142
157	523	139
158	526	135
159	528	132
160	531	128
161	533	125
162	536	121
163	538	118
164	540	114
165	543	111
166	545	107
167	547	104
168	550	100
169	552	97
170	554	94
171	557	90
172	559	87
173	561	83
174	564	80
175	566	77
176	568	73
177	570	70
178	573	67
179	575	63
180	577	60
181	580	57
182	582	54
183	584	50
184	587	47
185	589	44
186	591	41
187	594	37
188	596	34
189	598	31
190	601	28
191	603	25
192	605	21
193	608	18
194	610	15
195	612	12
196	615	9
197	617	6
198	620	3
199	622	0
